0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
\N,\N,13361,11518,10612,8141,14302,13381,10637,11653,8409,14313,6162,6114,27636,4950,15644,14488,19301,15468,13171,18132,24984,\N,\N,13347,\N,\N,\N,10953,\N,\N,13743,11381,7025,7700,\N,12198,27433,4895,18650,10978,7195,18638,\N,23244,11096,14528,15590,14349,\N,\N,12352,19213,23263,23938,18226,10830,14413,14841,24977,13544,7920,12205,12271,23969,15046,15335,11331,15343,15586,\N,\N,\N,\N,\N,\N,\N,147119,80221,111846,120884,50671,54989,18421,55536,95976,114666,\N,\N,\N,\N,\N,27341,\N,\N,\N,14049,\N,\N
\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3632,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,59979,\N,\N,59876,\N,\N,\N,10293,22894,14751,\N,\N,19588,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10439,22750,\N,\N,\N,38600,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14864,\N
\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3632,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3634,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9280,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,37800,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9253,\N,\N,\N,\N,\N,\N,19442,\N,\N,\N,\N,\N,\N
\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9280,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,27146,\N,\N,27341,\N,\N,\N,\N,\N,\N,\N,\N,\N,203202,\N
\N,\N,\N,\N,\N,40946,6913,45315,28398,24589,22545,34863,18760,9017,22191,21395,43174,59755,24032,52703,11997,38379,41034,6752,28207,24540,55354,22573,35147,3909,18761,8938,70712,22164,21265,70746,43233,39659,19588,59361,63258,54880,70516,70714,19298,63202,23968,52842,3911,12036,38286,13259,12067,8755,9490,10242,13755,14055,9183,15597,11654,15585,14476,15361,14323,13418,10197,9318,15615,4715,7303,9050,7985,12112,11115,18871,6974,11957,10509,6906,11646,15516,13258,13118,16911,14421,8703,4536,10442,7028,13013,13464,9516,9155,7249,17169,7473,13721,15269,12609
7783,11865,10871,14296,18594,7073,10660,7705,12746,8258,7507,8025,7395,\N,\N,\N,30420,4246,8910,33328,42587,69193,23131,6260,16663,9077,28683,42105,21391,14074,15284,18314,211687,214882,40994,18350,13535,42009,\N,33681,39737,41896,94955,62057,11349,93324,73599,\N,25990,60479,87086,52755,6214,31727,6921,9054,41950,21010,90516,153383,74701,50177,13693,28845,26601,11291,37411,30094,20610,39248,34593,41552,46245,43311,7337,23303,34695,36262,47930,105345,48129,47212,26253,41692,50376,24163,46749,217725,25808,95315,12981,157175,12490,\N,\N,22530,79500,\N,53969,161739
18492,139472,33748,31889,21669,158209,160001,17025,17755,29552,40102,23243,31228,23911,24112,36526,24703,30335,22069,52689,20910,61015,23532,72687,11880,\N,56283,39048,5642,120854,5913,25499,52644,33056,25560,20322,23192,18301,31237,42519,33757,16111,20886,42178,14252,10838,27125,58040,30806,34683,43798,12713,28436,62638,27301,65416,19460,23863,10822,30396,9142,41895,\N,13676,\N,62409,6363,31779,41611,20658,23464,46243,40513,36471,23403,169033,5874,25599,\N,18581,16159,10842,28453,24480,15410,173490,27306,177211,24746,26537,21216,82501,54714,57716,34827,\N,15578,33174,9723,\N
36402,8593,\N,\N,\N,23895,33498,\N,5638,4856,14264,36226,24420,\N,22072,54579,12708,32851,32520,19377,35012,114156,127116,24130,35407,\N,227761,40497,11283,\N,53854,27941,26455,32899,113923,21931,47753,37645,46463,\N,30672,63233,37507,12836,\N,15016,62611,42983,19050,34049,145856,13833,18674,28773,107660,25363,\N,30643,\N,43979,51137,8562,15610,11044,39655,37326,123049,64548,13334,27213,27314,149064,141800,172645,237506,\N,108769,142187,33689,40447,\N,\N,39715,28162,31102,11476,15449,\N,30641,51085,50177,53167,41624,24554,22996,56144,31291,118258,31475,61535
20641,26218,98802,43491,8648,37912,31908,22158,21869,27047,29054,49809,37349,57908,17314,32277,12893,24761,26314,26468,53067,34946,16791,29690,10364,28885,21009,20662,37115,39136,34836,25294,30890,24661,25617,20148,31417,27353,21282,22946,20261,29363,26589,70845,55628,28022,17134,52790,17155,25688,30652,15277,38133,19567,32903,16944,51156,35765,14063,126968,139928,14458,53309,58678,44329,46353,26805,54033,59593,57281,24094,\N,18080,62264,39390,10568,50436,147160,7825,120472,15344,51475,23030,30188,14408,22618,53714,139208,29722,33014,50077,45445,21719,45254,47490,26821,51472,59740,33032,29814
82641,41746,55332,\N,106109,50529,90461,45756,69644,9069,33667,6228,16570,57432,18432,41979,11401,90507,34517,60203,43223,36174,\N,\N,95138,17861,29774,23429,72705,124588,52520,\N,\N,42714,57964,43752,62353,10904,54544,55850,43428,38151,31811,22112,56564,129045,39464,49806,132766,53059,70870,41667,45617,37156,61526,31919,41482,82087,\N,54305,81274,68504,\N,43074,15383,53561,27475,65356,8091,\N,53471,30455,32429,\N,57948,\N,59769,50025,127324,\N,14323,36815,69813,12785,\N,18050,46480,22738,53986,84105,20743,62528,9201,74720,17314,20614,46401,21333,84303,\N
