,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters
0,166,3531,Kodiak Airport,7162,Larsen Bay Airport,\N,\N
1,167,7162,Larsen Bay Airport,7161,Karluk Airport,\N,\N
2,248,5726,Southeast Iowa Regional Airport,3830,Chicago O'Hare International Airport,13361,386142
3,249,5726,Southeast Iowa Regional Airport,3678,St Louis Lambert International Airport,11518,323800
4,250,4042,Decatur Airport,3830,Chicago O'Hare International Airport,10612,313839
5,251,4042,Decatur Airport,3678,St Louis Lambert International Airport,8141,212301
6,252,3591,Jonesboro Municipal Airport,3678,St Louis Lambert International Airport,14302,384203
7,253,3830,Chicago O'Hare International Airport,5726,Southeast Iowa Regional Airport,13381,386553
8,254,3830,Chicago O'Hare International Airport,4042,Decatur Airport,10637,312916
9,255,3678,St Louis Lambert International Airport,5726,Southeast Iowa Regional Airport,11653,324668
10,256,3678,St Louis Lambert International Airport,4042,Decatur Airport,8409,213929
11,257,3678,St Louis Lambert International Airport,3591,Jonesboro Municipal Airport,14313,382046
12,258,3808,Ketchikan International Airport,7146,Metlakatla Seaplane Base,6162,40071
13,259,7146,Metlakatla Seaplane Base,3808,Ketchikan International Airport,6114,40073
14,421,3682,Hartsfield Jackson Atlanta International Airport,6958,Greenbrier Valley Airport,27636,808772
15,422,3682,Hartsfield Jackson Atlanta International Airport,3754,Middle Georgia Regional Airport,4950,140478
16,423,3682,Hartsfield Jackson Atlanta International Airport,4335,Key Field,15644,482731
17,424,3682,Hartsfield Jackson Atlanta International Airport,5756,Northwest Alabama Regional Airport,14488,426224
18,425,3682,Hartsfield Jackson Atlanta International Airport,5759,Hattiesburg Laurel Regional Airport,19301,600630
19,426,3682,Hartsfield Jackson Atlanta International Airport,5773,Tupelo Regional Airport,15468,470556
20,430,3875,Key West International Airport,3533,Fort Lauderdale Hollywood International Airport,13171,301221
21,431,3875,Key West International Airport,3793,Southwest Florida International Airport,18132,467956
22,432,3875,Key West International Airport,3646,Tampa International Airport,24984,687806
23,433,3533,Fort Lauderdale Hollywood International Airport,1937,South Bimini Airport,\N,\N
24,434,3533,Fort Lauderdale Hollywood International Airport,1943,North Eleuthera Airport,\N,\N
25,435,3533,Fort Lauderdale Hollywood International Airport,3875,Key West International Airport,13347,303592
26,436,3533,Fort Lauderdale Hollywood International Airport,1948,Grand Bahama International Airport,\N,\N
27,437,3533,Fort Lauderdale Hollywood International Airport,1941,Exuma International Airport,\N,\N
28,438,3533,Fort Lauderdale Hollywood International Airport,1944,Governor's Harbour Airport,\N,\N
29,439,3533,Fort Lauderdale Hollywood International Airport,3878,Orlando International Airport,10953,337998
30,440,3533,Fort Lauderdale Hollywood International Airport,1930,Leonard M Thompson International Airport,\N,\N
31,441,3533,Fort Lauderdale Hollywood International Airport,1934,Treasure Cay Airport,\N,\N
32,442,3533,Fort Lauderdale Hollywood International Airport,3646,Tampa International Airport,13743,428963
33,447,6130,Mid Delta Regional Airport,5773,Tupelo Regional Airport,11381,292393
34,448,3472,Gainesville Regional Airport,3878,Orlando International Airport,7025,199581
35,449,3472,Gainesville Regional Airport,3646,Tampa International Airport,7700,223588
36,450,3712,Jacksonville International Airport,1930,Leonard M Thompson International Airport,\N,\N
37,451,3712,Jacksonville International Airport,3646,Tampa International Airport,12198,343986
38,452,6958,Greenbrier Valley Airport,3682,Hartsfield Jackson Atlanta International Airport,27433,804395
39,453,3754,Middle Georgia Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,4895,139480
40,454,3754,Middle Georgia Regional Airport,3878,Orlando International Airport,18650,581535
41,455,3878,Orlando International Airport,3533,Fort Lauderdale Hollywood International Airport,10978,341097
42,456,3878,Orlando International Airport,3472,Gainesville Regional Airport,7195,202919
43,457,3878,Orlando International Airport,3754,Middle Georgia Regional Airport,18638,584221
44,458,3878,Orlando International Airport,1930,Leonard M Thompson International Airport,\N,\N
