,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
0,166,3531,Kodiak Airport,7162,Larsen Bay Airport,0,0,ADQ,KLN
1,249,5726,Southeast Iowa Regional Airport,3678,St Louis Lambert International Airport,13361,386142,BRL,STL
2,250,4042,Decatur Airport,3830,Chicago O'Hare International Airport,11518,323800,DEC,ORD
3,251,4042,Decatur Airport,3678,St Louis Lambert International Airport,10612,313839,DEC,STL
4,252,3591,Jonesboro Municipal Airport,3678,St Louis Lambert International Airport,8141,212301,JBR,STL
5,253,3830,Chicago O'Hare International Airport,5726,Southeast Iowa Regional Airport,14302,384203,ORD,BRL
6,254,3830,Chicago O'Hare International Airport,4042,Decatur Airport,13381,386553,ORD,DEC
7,255,3678,St Louis Lambert International Airport,5726,Southeast Iowa Regional Airport,10637,312916,STL,BRL
8,256,3678,St Louis Lambert International Airport,4042,Decatur Airport,11653,324668,STL,DEC
9,257,3678,St Louis Lambert International Airport,3591,Jonesboro Municipal Airport,8409,213929,STL,JBR
10,258,3808,Ketchikan International Airport,7146,Metlakatla Seaplane Base,14313,382046,KTN,MTM
11,259,7146,Metlakatla Seaplane Base,3808,Ketchikan International Airport,6162,40071,MTM,KTN
12,421,3682,Hartsfield Jackson Atlanta International Airport,6958,Greenbrier Valley Airport,6114,40073,ATL,LWB
13,422,3682,Hartsfield Jackson Atlanta International Airport,3754,Middle Georgia Regional Airport,27636,808772,ATL,MCN
14,423,3682,Hartsfield Jackson Atlanta International Airport,4335,Key Field,4950,140478,ATL,MEI
15,424,3682,Hartsfield Jackson Atlanta International Airport,5756,Northwest Alabama Regional Airport,15644,482731,ATL,MSL
16,425,3682,Hartsfield Jackson Atlanta International Airport,5759,Hattiesburg Laurel Regional Airport,14488,426224,ATL,PIB
17,426,3682,Hartsfield Jackson Atlanta International Airport,5773,Tupelo Regional Airport,19301,600630,ATL,TUP
18,430,3875,Key West International Airport,3533,Fort Lauderdale Hollywood International Airport,15468,470556,EYW,FLL
19,431,3875,Key West International Airport,3793,Southwest Florida International Airport,13171,301221,EYW,RSW
20,432,3875,Key West International Airport,3646,Tampa International Airport,18132,467956,EYW,TPA
21,433,3533,Fort Lauderdale Hollywood International Airport,1937,South Bimini Airport,24984,687806,FLL,BIM
22,436,3533,Fort Lauderdale Hollywood International Airport,1948,Grand Bahama International Airport,13347,303592,FLL,FPO
23,440,3533,Fort Lauderdale Hollywood International Airport,1930,Leonard M Thompson International Airport,10953,337998,FLL,MHH
24,447,6130,Mid Delta Regional Airport,5773,Tupelo Regional Airport,13743,428963,GLH,TUP
25,448,3472,Gainesville Regional Airport,3878,Orlando International Airport,11381,292393,GNV,MCO
26,449,3472,Gainesville Regional Airport,3646,Tampa International Airport,7025,199581,GNV,TPA
27,450,3712,Jacksonville International Airport,1930,Leonard M Thompson International Airport,7700,223588,JAX,MHH
28,452,6958,Greenbrier Valley Airport,3682,Hartsfield Jackson Atlanta International Airport,12198,343986,LWB,ATL
29,453,3754,Middle Georgia Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,27433,804395,MCN,ATL
30,454,3754,Middle Georgia Regional Airport,3878,Orlando International Airport,4895,139480,MCN,MCO
31,455,3878,Orlando International Airport,3533,Fort Lauderdale Hollywood International Airport,18650,581535,MCO,FLL
32,456,3878,Orlando International Airport,3472,Gainesville Regional Airport,10978,341097,MCO,GNV
33,457,3878,Orlando International Airport,3754,Middle Georgia Regional Airport,7195,202919,MCO,MCN
34,458,3878,Orlando International Airport,1930,Leonard M Thompson International Airport,18638,584221,MCO,MHH
35,460,3878,Orlando International Airport,3793,Southwest Florida International Airport,23244,731988,MCO,RSW
36,461,3878,Orlando International Airport,3698,Tallahassee Regional Airport,11096,340243,MCO,TLH
37,462,4335,Key Field,3682,Hartsfield Jackson Atlanta International Airport,14528,446146,MEI,ATL
38,467,5756,Northwest Alabama Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,15590,481529,MSL,ATL
39,468,3722,Palm Beach International Airport,1943,North Eleuthera Airport,14349,425327,PBI,ELH
40,471,5759,Hattiesburg Laurel Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,12352,342261,PIB,ATL
41,472,3564,Pensacola Regional Airport,3878,Orlando International Airport,19213,599809,PNS,MCO
42,473,3564,Pensacola Regional Airport,3646,Tampa International Airport,23263,733544,PNS,TPA
43,474,3793,Southwest Florida International Airport,3875,Key West International Airport,23938,757551,RSW,EYW
44,475,3793,Southwest Florida International Airport,3878,Orlando International Airport,18226,470229,RSW,MCO
45,477,3698,Tallahassee Regional Airport,3878,Orlando International Airport,10830,277316,TLH,MCO
46,478,3698,Tallahassee Regional Airport,3646,Tampa International Airport,14413,443362,TLH,TPA
47,479,3646,Tampa International Airport,3875,Key West International Airport,14841,394504,TPA,EYW
48,480,3646,Tampa International Airport,3533,Fort Lauderdale Hollywood International Airport,24977,688640,TPA,FLL
49,481,3646,Tampa International Airport,3472,Gainesville Regional Airport,13544,427683,TPA,GNV
50,482,3646,Tampa International Airport,3712,Jacksonville International Airport,7920,226952,TPA,JAX
51,483,3646,Tampa International Airport,3722,Palm Beach International Airport,12205,344962,TPA,PBI
52,484,3646,Tampa International Airport,3564,Pensacola Regional Airport,12271,340987,TPA,PNS
53,485,3646,Tampa International Airport,3698,Tallahassee Regional Airport,23969,756021,TPA,TLH
54,486,5773,Tupelo Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,15046,395863,TUP,ATL
