,Unnamed: 0,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA,SRC_AIRPT,DESTN_AIRPT,EQPT,Population,Incoming,Outgoing
0,0,5726,Southeast Iowa Regional Airport,3830,Chicago O'Hare International Airport,13361,386142,BRL,ORD,BRL,ORD,CNC,19161134.0,165,2
1,1,5726,Southeast Iowa Regional Airport,3678,St Louis Lambert International Airport,11518,323800,BRL,STL,BRL,STL,CNC,2828990.0,59,2
2,2,4042,Decatur Airport,3830,Chicago O'Hare International Airport,10612,313839,DEC,ORD,DEC,ORD,CNC,19161134.0,165,2
3,3,4042,Decatur Airport,3678,St Louis Lambert International Airport,8141,212301,DEC,STL,DEC,STL,CNC,2828990.0,59,2
4,4,3591,Jonesboro Municipal Airport,3678,St Louis Lambert International Airport,14302,384203,JBR,STL,JBR,STL,CNC,2828990.0,59,1
5,5,3830,Chicago O'Hare International Airport,5726,Southeast Iowa Regional Airport,13381,386553,ORD,BRL,ORD,BRL,CNC,48412.0,2,168
6,6,3830,Chicago O'Hare International Airport,4042,Decatur Airport,10637,312916,ORD,DEC,ORD,DEC,CNC,108204.0,2,168
7,7,3678,St Louis Lambert International Airport,5726,Southeast Iowa Regional Airport,11653,324668,STL,BRL,STL,BRL,CNC,48412.0,2,58
8,8,3678,St Louis Lambert International Airport,4042,Decatur Airport,8409,213929,STL,DEC,STL,DEC,CNC,108204.0,2,58
9,9,3678,St Louis Lambert International Airport,3591,Jonesboro Municipal Airport,14313,382046,STL,JBR,STL,JBR,CNC,120139.0,1,58
10,12,3682,Hartsfield Jackson Atlanta International Airport,6958,Greenbrier Valley Airport,27636,808772,ATL,LWB,ATL,LWB,SF3,,2,171
11,13,3682,Hartsfield Jackson Atlanta International Airport,3754,Middle Georgia Regional Airport,4950,140478,ATL,MCN,ATL,MCN,SF3,231576.0,2,171
12,14,3682,Hartsfield Jackson Atlanta International Airport,4335,Key Field,15644,482731,ATL,MEI,ATL,MEI,SF3,106139.0,1,171
13,15,3682,Hartsfield Jackson Atlanta International Airport,5756,Northwest Alabama Regional Airport,14488,426224,ATL,MSL,ATL,MSL,SF3,,1,171
14,16,3682,Hartsfield Jackson Atlanta International Airport,5759,Hattiesburg Laurel Regional Airport,19301,600630,ATL,PIB,ATL,PIB,SF3,143093.0,1,171
15,17,3682,Hartsfield Jackson Atlanta International Airport,5773,Tupelo Regional Airport,15468,470556,ATL,TUP,ATL,TUP,SF3,134161.0,2,171
16,24,6130,Mid Delta Regional Airport,5773,Tupelo Regional Airport,11381,292393,GLH,TUP,GLH,TUP,SF3,134161.0,2,1
17,28,6958,Greenbrier Valley Airport,3682,Hartsfield Jackson Atlanta International Airport,27433,804395,LWB,ATL,LWB,ATL,SF3,5475213.0,174,2
18,29,3754,Middle Georgia Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,4895,139480,MCN,ATL,MCN,ATL,SF3,5475213.0,174,2
19,30,3754,Middle Georgia Regional Airport,3878,Orlando International Airport,18650,581535,MCN,MCO,MCN,MCO,SF3,2082421.0,89,2
20,33,3878,Orlando International Airport,3754,Middle Georgia Regional Airport,18638,584221,MCO,MCN,MCO,MCN,SF3,231576.0,2,105
21,37,4335,Key Field,3682,Hartsfield Jackson Atlanta International Airport,15590,481529,MEI,ATL,MEI,ATL,SF3,5475213.0,174,1
22,38,5756,Northwest Alabama Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,14349,425327,MSL,ATL,MSL,ATL,SF3,5475213.0,174,1
23,40,5759,Hattiesburg Laurel Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,19213,599809,PIB,ATL,PIB,ATL,SF3 ,5475213.0,174,1
24,54,5773,Tupelo Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,15335,469405,TUP,ATL,TUP,ATL,SF3 ,5475213.0,174,2
25,55,5773,Tupelo Regional Airport,6130,Mid Delta Regional Airport,11331,283037,TUP,GLH,TUP,GLH,SF3,54616.0,1,2
26,60,3877,McCarran International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,111846,2886242,LAS,TLC,LAS,TLC,320,,3,130
27,65,3621,San Antonio International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,55536,1379811,SAT,TLC,SAT,TLC,320,,3,35
28,66,3867,John Wayne Airport-Orange County Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,95976,2524601,SNA,GDL,SNA,GDL,320,,17,21
29,69,3832,Fairbanks International Airport,7246,Manley Hot Springs Airport,14049,260442,FAI,MLY,FAI,MLY,CN1,,1,6
31,81,7213,Kongiganak Airport,7096,Kwigillingok Airport,3632,20508,KKH,KWK,KKH,KWK,CNA,,1,1
32,82,7096,Kwigillingok Airport,7213,Kongiganak Airport,3634,20508,KWK,KKH,KWK,KKH,CNA,,1,1
33,84,3620,Deadhorse Airport,3832,Fairbanks International Airport,37800,804658,SCC,FAI,SCC,FAI,DH8,98660.0,6,2
34,85,7186,Teller Airport,3615,Nome Airport,9253,109189,TLA,OME,TLA,OME,PAG,,1,1
35,87,3615,Nome Airport,7186,Teller Airport,9280,109189,OME,TLA,OME,TLA,PAG,,1,1
36,87,3615,Nome Airport,7186,Teller Airport,9280,109189,OME,TLA,OME,TLA,CNC,,1,1
37,88,3417,Bettles Airport,3832,Fairbanks International Airport,27146,397220,BTT,FAI,BTT,FAI,CNC,98660.0,6,1
38,89,3832,Fairbanks International Airport,3417,Bettles Airport,27341,397528,FAI,BTT,FAI,BTT,PA2,,1,6
39,89,3832,Fairbanks International Airport,3417,Bettles Airport,27341,397528,FAI,BTT,FAI,BTT,CNC,,1,6
40,90,7107,Hughes Airport,3832,Fairbanks International Airport,203202,5288778,HUS,FAI,HUS,FAI,CNC,98660.0,6,1
41,115,3442,Grand Forks International Airport,7018,Thief River Falls Regional Airport,3909,90543,GFK,TVF,GFK,TVF,,,1,5
42,134,7018,Thief River Falls Regional Airport,3442,Grand Forks International Airport,3911,90788,TVF,GFK,TVF,GFK,,97190.0,5,1
43,137,3517,Nantucket Memorial Airport,3448,General Edward Lawrence Logan International Airport,13259,166862,ACK,BOS,ACK,BOS,CNA,9177360.0,81,6
44,138,3517,Nantucket Memorial Airport,5737,New Bedford Regional Airport,12067,131388,ACK,EWB,ACK,EWB,CNA,,2,6
45,139,3517,Nantucket Memorial Airport,4278,Barnstable Municipal Boardman Polando Field,8755,52171,ACK,HYA,ACK,HYA,CNA,,3,6
46,140,3517,Nantucket Memorial Airport,4265,Martha's Vineyard Airport,9490,62491,ACK,MVY,ACK,MVY,CNA,,4,6
47,141,3864,Albany International Airport,3448,General Edward Lawrence Logan International Airport,10242,290467,ALB,BOS,ALB,BOS,CNA,9177360.0,81,19
48,142,3864,Albany International Airport,3546,Massena International Richards Field,13755,339126,ALB,MSS,ALB,MSS,CNA,,1,19
49,143,3864,Albany International Airport,3724,Ogdensburg International Airport,14055,353523,ALB,OGS,ALB,OGS,CNA,109715.0,1,19
50,144,3701,Augusta State Airport,3448,General Edward Lawrence Logan International Airport,9183,255652,AUG,BOS,AUG,BOS,CNA,9177360.0,81,1
51,145,4025,Hancock County-Bar Harbor Airport,3448,General Edward Lawrence Logan International Airport,15597,430181,BHB,BOS,BHB,BOS,CNA,9177360.0,81,1
52,146,4021,Billings Logan International Airport,7070,Dawson Community Airport,11654,360332,BIL,GDV,BIL,GDV,CNA,,1,12
53,147,4021,Billings Logan International Airport,5739,Wokal Field Glasgow International Airport,15585,445400,BIL,GGW,BIL,GGW,CNA,,1,12
54,148,4021,Billings Logan International Airport,3604,Havre City County Airport,14476,406361,BIL,HVR,BIL,HVR,CNA,16632.0,1,12
55,149,4021,Billings Logan International Airport,7071,L M Clayton Airport,15361,468994,BIL,OLF,BIL,OLF,CNA,,1,12
56,150,4021,Billings Logan International Airport,7065,Sidney - Richland Regional Airport,14323,437741,BIL,SDY,BIL,SDY,CNA,,1,12
57,151,3448,General Edward Lawrence Logan International Airport,3517,Nantucket Memorial Airport,13418,170007,BOS,ACK,BOS,ACK,CNA,,6,78
58,152,3448,General Edward Lawrence Logan International Airport,3864,Albany International Airport,10197,290067,BOS,ALB,BOS,ALB,CNA,857592.0,21,78
59,153,3448,General Edward Lawrence Logan International Airport,3701,Augusta State Airport,9318,257162,BOS,AUG,BOS,AUG,CNA,121090.0,1,78
60,154,3448,General Edward Lawrence Logan International Airport,4025,Hancock County-Bar Harbor Airport,15615,430775,BOS,BHB,BOS,BHB,CNA,,1,78
61,155,3448,General Edward Lawrence Logan International Airport,4278,Barnstable Municipal Boardman Polando Field,4715,117612,BOS,HYA,BOS,HYA,CNA,,3,78
62,156,3448,General Edward Lawrence Logan International Airport,5749,Lebanon Municipal Airport,7303,207651,BOS,LEB,BOS,LEB,CNA,,2,78
63,157,3448,General Edward Lawrence Logan International Airport,4265,Martha's Vineyard Airport,9050,147681,BOS,MVY,BOS,MVY,CNA,,4,78
64,158,3448,General Edward Lawrence Logan International Airport,6456,Provincetown Municipal Airport,7985,194017,BOS,PVC,BOS,PVC,CNA,,1,78
65,159,3448,General Edward Lawrence Logan International Airport,4026,Knox County Regional Airport,12112,299320,BOS,RKD,BOS,RKD,CNA,40801.0,1,78
66,160,3448,General Edward Lawrence Logan International Airport,5767,Rutland - Southern Vermont Regional Airport,11115,257685,BOS,RUT,BOS,RUT,CNA,63014.0,1,78
67,161,3448,General Edward Lawrence Logan International Airport,5770,Adirondack Regional Airport,18871,443763,BOS,SLK,BOS,SLK,CNA,,1,78
68,162,5728,Cape Girardeau Regional Airport,3678,St Louis Lambert International Airport,6974,209967,CGI,STL,CGI,STL,CNA,2828990.0,59,1
69,163,5737,New Bedford Regional Airport,3517,Nantucket Memorial Airport,11957,130528,EWB,ACK,EWB,ACK,CNA,,6,3
70,164,5737,New Bedford Regional Airport,3589,Westchester County Airport,10509,288786,EWB,HPN,EWB,HPN,CNA,,15,3
71,165,5737,New Bedford Regional Airport,4265,Martha's Vineyard Airport,6906,96625,EWB,MVY,EWB,MVY,CNA,,4,3
72,166,7070,Dawson Community Airport,4021,Billings Logan International Airport,11646,360419,GDV,BIL,GDV,BIL,CNA,154553.0,12,1
73,167,5739,Wokal Field Glasgow International Airport,4021,Billings Logan International Airport,15516,445387,GGW,BIL,GGW,BIL,CNA,154553.0,12,1
74,168,3589,Westchester County Airport,4278,Barnstable Municipal Boardman Polando Field,13258,359711,HPN,HYA,HPN,HYA,CNA,,3,15
75,169,3589,Westchester County Airport,5749,Lebanon Municipal Airport,13118,370790,HPN,LEB,HPN,LEB,CNA,,2,15
76,170,3589,Westchester County Airport,4265,Martha's Vineyard Airport,16911,378204,HPN,MVY,HPN,MVY,CNA,,4,15
77,171,3604,Havre City County Airport,4021,Billings Logan International Airport,14421,406346,HVR,BIL,HVR,BIL,CNA,154553.0,12,1
78,172,4278,Barnstable Municipal Boardman Polando Field,3517,Nantucket Memorial Airport,8703,52395,HYA,ACK,HYA,ACK,CNA,,6,2
79,173,4278,Barnstable Municipal Boardman Polando Field,3448,General Edward Lawrence Logan International Airport,4536,114967,HYA,BOS,HYA,BOS,CNA,9177360.0,81,2
80,174,5744,Kirksville Regional Airport,3678,St Louis Lambert International Airport,10442,303157,IRK,STL,IRK,STL,CNA,2828990.0,59,1
81,175,5749,Lebanon Municipal Airport,3448,General Edward Lawrence Logan International Airport,7028,204811,LEB,BOS,LEB,BOS,CNA,9177360.0,81,2
82,176,5749,Lebanon Municipal Airport,3589,Westchester County Airport,13013,370579,LEB,HPN,LEB,HPN,CNA,,15,2
83,177,3546,Massena International Richards Field,3864,Albany International Airport,13464,338118,MSS,ALB,MSS,ALB,CNA,857592.0,21,1
84,178,4265,Martha's Vineyard Airport,3517,Nantucket Memorial Airport,9516,63139,MVY,ACK,MVY,ACK,CNA,,6,4
85,179,4265,Martha's Vineyard Airport,3448,General Edward Lawrence Logan International Airport,9155,147957,MVY,BOS,MVY,BOS,CNA,9177360.0,81,4
86,180,4265,Martha's Vineyard Airport,5737,New Bedford Regional Airport,7249,99849,MVY,EWB,MVY,EWB,CNA,,2,4
87,181,4265,Martha's Vineyard Airport,3589,Westchester County Airport,17169,382174,MVY,HPN,MVY,HPN,CNA,,15,4
88,182,6825,Williamson County Regional Airport,3678,St Louis Lambert International Airport,7473,212755,MWA,STL,MWA,STL,CNA,2828990.0,59,1
89,183,3724,Ogdensburg International Airport,3864,Albany International Airport,13721,352349,OGS,ALB,OGS,ALB,CNA,857592.0,21,1
90,184,7071,L M Clayton Airport,4021,Billings Logan International Airport,15269,468822,OLF,BIL,OLF,BIL,CNA,154553.0,12,1
91,185,5758,Owensboro Daviess County Airport,3678,St Louis Lambert International Airport,12609,354083,OWB,STL,OWB,STL,CNA,2828990.0,59,2
92,186,6456,Provincetown Municipal Airport,3448,General Edward Lawrence Logan International Airport,7783,190415,PVC,BOS,PVC,BOS,CNA,9177360.0,81,1
93,187,4026,Knox County Regional Airport,3448,General Edward Lawrence Logan International Airport,11865,296666,RKD,BOS,RKD,BOS,CNA,9177360.0,81,1
94,188,5767,Rutland - Southern Vermont Regional Airport,3448,General Edward Lawrence Logan International Airport,10871,254596,RUT,BOS,RUT,BOS,CNA,9177360.0,81,1
95,189,7065,Sidney - Richland Regional Airport,4021,Billings Logan International Airport,14296,437620,SDY,BIL,SDY,BIL,CNA,154553.0,12,1
96,190,5770,Adirondack Regional Airport,3448,General Edward Lawrence Logan International Airport,18594,440663,SLK,BOS,SLK,BOS,CNA,9177360.0,81,1
97,191,3678,St Louis Lambert International Airport,5728,Cape Girardeau Regional Airport,7073,209780,STL,CGI,STL,CGI,CNA,93712.0,1,58
98,192,3678,St Louis Lambert International Airport,5744,Kirksville Regional Airport,10660,302903,STL,IRK,STL,IRK,CNA,29279.0,1,58
99,193,3678,St Louis Lambert International Airport,6825,Williamson County Regional Airport,7705,213767,STL,MWA,STL,MWA,CNA,65169.0,1,58
100,194,3678,St Louis Lambert International Airport,5758,Owensboro Daviess County Airport,12746,345894,STL,OWB,STL,OWB,CNA,113636.0,2,58
101,195,3678,St Louis Lambert International Airport,3665,Waynesville-St. Robert Regional Forney field,8258,227584,STL,TBN,STL,TBN,CNA,46457.0,1,58
102,196,3678,St Louis Lambert International Airport,5774,Quincy Regional Baldwin Field,7507,209519,STL,UIN,STL,UIN,CNA,76845.0,1,58
103,197,3665,Waynesville-St. Robert Regional Forney field,3678,St Louis Lambert International Airport,8025,226417,TBN,STL,TBN,STL,CNA,2828990.0,59,1
104,198,5774,Quincy Regional Baldwin Field,3678,St Louis Lambert International Airport,7395,209315,UIN,STL,UIN,STL,CNA,2828990.0,59,1
108,275,3448,General Edward Lawrence Logan International Airport,3576,Miami International Airport,79500,2417477,BOS,MIA,BOS,MIA,757 738,11094102.0,69,78
110,352,3876,Charlotte Douglas International Airport,4112,Akron Canton Regional Airport,25599,755748,CLT,CAK,CLT,CAK,CRJ CR7,699935.0,14,122
112,352,3876,Charlotte Douglas International Airport,4112,Akron Canton Regional Airport,25599,755748,CLT,CAK,CLT,CAK,CRJ,699935.0,14,122
