,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
0,5726,Southeast Iowa Regional Airport,3830,Chicago O'Hare International Airport,13361,386142,BRL,ORD
1,5726,Southeast Iowa Regional Airport,3678,St Louis Lambert International Airport,11518,323800,BRL,STL
2,4042,Decatur Airport,3830,Chicago O'Hare International Airport,10612,313839,DEC,ORD
3,4042,Decatur Airport,3678,St Louis Lambert International Airport,8141,212301,DEC,STL
4,3591,Jonesboro Municipal Airport,3678,St Louis Lambert International Airport,14302,384203,JBR,STL
5,3830,Chicago O'Hare International Airport,5726,Southeast Iowa Regional Airport,13381,386553,ORD,BRL
6,3830,Chicago O'Hare International Airport,4042,Decatur Airport,10637,312916,ORD,DEC
7,3678,St Louis Lambert International Airport,5726,Southeast Iowa Regional Airport,11653,324668,STL,BRL
8,3678,St Louis Lambert International Airport,4042,Decatur Airport,8409,213929,STL,DEC
9,3678,St Louis Lambert International Airport,3591,Jonesboro Municipal Airport,14313,382046,STL,JBR
12,3682,Hartsfield Jackson Atlanta International Airport,6958,Greenbrier Valley Airport,27636,808772,ATL,LWB
13,3682,Hartsfield Jackson Atlanta International Airport,3754,Middle Georgia Regional Airport,4950,140478,ATL,MCN
14,3682,Hartsfield Jackson Atlanta International Airport,4335,Key Field,15644,482731,ATL,MEI
15,3682,Hartsfield Jackson Atlanta International Airport,5756,Northwest Alabama Regional Airport,14488,426224,ATL,MSL
16,3682,Hartsfield Jackson Atlanta International Airport,5759,Hattiesburg Laurel Regional Airport,19301,600630,ATL,PIB
17,3682,Hartsfield Jackson Atlanta International Airport,5773,Tupelo Regional Airport,15468,470556,ATL,TUP
24,6130,Mid Delta Regional Airport,5773,Tupelo Regional Airport,11381,292393,GLH,TUP
28,6958,Greenbrier Valley Airport,3682,Hartsfield Jackson Atlanta International Airport,27433,804395,LWB,ATL
29,3754,Middle Georgia Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,4895,139480,MCN,ATL
30,3754,Middle Georgia Regional Airport,3878,Orlando International Airport,18650,581535,MCN,MCO
33,3878,Orlando International Airport,3754,Middle Georgia Regional Airport,18638,584221,MCO,MCN
37,4335,Key Field,3682,Hartsfield Jackson Atlanta International Airport,15590,481529,MEI,ATL
38,5756,Northwest Alabama Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,14349,425327,MSL,ATL
40,5759,Hattiesburg Laurel Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,19213,599809,PIB,ATL
54,5773,Tupelo Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,15335,469405,TUP,ATL
55,5773,Tupelo Regional Airport,6130,Mid Delta Regional Airport,11331,283037,TUP,GLH
60,3877,McCarran International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,111846,2886242,LAS,TLC
65,3621,San Antonio International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,55536,1379811,SAT,TLC
66,3867,John Wayne Airport-Orange County Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,95976,2524601,SNA,GDL
69,3832,Fairbanks International Airport,7246,Manley Hot Springs Airport,14049,260442,FAI,MLY
81,7213,Kongiganak Airport,7096,Kwigillingok Airport,3632,20508,KKH,KWK
82,7096,Kwigillingok Airport,7213,Kongiganak Airport,3634,20508,KWK,KKH
84,3620,Deadhorse Airport,3832,Fairbanks International Airport,37800,804658,SCC,FAI
85,7186,Teller Airport,3615,Nome Airport,9253,109189,TLA,OME
87,3615,Nome Airport,7186,Teller Airport,9280,109189,OME,TLA
88,3417,Bettles Airport,3832,Fairbanks International Airport,27146,397220,BTT,FAI
89,3832,Fairbanks International Airport,3417,Bettles Airport,27341,397528,FAI,BTT
90,7107,Hughes Airport,3832,Fairbanks International Airport,203202,5288778,HUS,FAI
115,3442,Grand Forks International Airport,7018,Thief River Falls Regional Airport,3909,90543,GFK,TVF
134,7018,Thief River Falls Regional Airport,3442,Grand Forks International Airport,3911,90788,TVF,GFK
137,3517,Nantucket Memorial Airport,3448,General Edward Lawrence Logan International Airport,13259,166862,ACK,BOS
138,3517,Nantucket Memorial Airport,5737,New Bedford Regional Airport,12067,131388,ACK,EWB
139,3517,Nantucket Memorial Airport,4278,Barnstable Municipal Boardman Polando Field,8755,52171,ACK,HYA
140,3517,Nantucket Memorial Airport,4265,Martha's Vineyard Airport,9490,62491,ACK,MVY
141,3864,Albany International Airport,3448,General Edward Lawrence Logan International Airport,10242,290467,ALB,BOS
142,3864,Albany International Airport,3546,Massena International Richards Field,13755,339126,ALB,MSS
143,3864,Albany International Airport,3724,Ogdensburg International Airport,14055,353523,ALB,OGS
144,3701,Augusta State Airport,3448,General Edward Lawrence Logan International Airport,9183,255652,AUG,BOS
145,4025,Hancock County-Bar Harbor Airport,3448,General Edward Lawrence Logan International Airport,15597,430181,BHB,BOS
146,4021,Billings Logan International Airport,7070,Dawson Community Airport,11654,360332,BIL,GDV
147,4021,Billings Logan International Airport,5739,Wokal Field Glasgow International Airport,15585,445400,BIL,GGW
148,4021,Billings Logan International Airport,3604,Havre City County Airport,14476,406361,BIL,HVR
149,4021,Billings Logan International Airport,7071,L M Clayton Airport,15361,468994,BIL,OLF
150,4021,Billings Logan International Airport,7065,Sidney - Richland Regional Airport,14323,437741,BIL,SDY
151,3448,General Edward Lawrence Logan International Airport,3517,Nantucket Memorial Airport,13418,170007,BOS,ACK
152,3448,General Edward Lawrence Logan International Airport,3864,Albany International Airport,10197,290067,BOS,ALB
153,3448,General Edward Lawrence Logan International Airport,3701,Augusta State Airport,9318,257162,BOS,AUG
154,3448,General Edward Lawrence Logan International Airport,4025,Hancock County-Bar Harbor Airport,15615,430775,BOS,BHB
155,3448,General Edward Lawrence Logan International Airport,4278,Barnstable Municipal Boardman Polando Field,4715,117612,BOS,HYA
156,3448,General Edward Lawrence Logan International Airport,5749,Lebanon Municipal Airport,7303,207651,BOS,LEB
157,3448,General Edward Lawrence Logan International Airport,4265,Martha's Vineyard Airport,9050,147681,BOS,MVY
158,3448,General Edward Lawrence Logan International Airport,6456,Provincetown Municipal Airport,7985,194017,BOS,PVC
159,3448,General Edward Lawrence Logan International Airport,4026,Knox County Regional Airport,12112,299320,BOS,RKD
160,3448,General Edward Lawrence Logan International Airport,5767,Rutland - Southern Vermont Regional Airport,11115,257685,BOS,RUT
161,3448,General Edward Lawrence Logan International Airport,5770,Adirondack Regional Airport,18871,443763,BOS,SLK
162,5728,Cape Girardeau Regional Airport,3678,St Louis Lambert International Airport,6974,209967,CGI,STL
163,5737,New Bedford Regional Airport,3517,Nantucket Memorial Airport,11957,130528,EWB,ACK
164,5737,New Bedford Regional Airport,3589,Westchester County Airport,10509,288786,EWB,HPN
165,5737,New Bedford Regional Airport,4265,Martha's Vineyard Airport,6906,96625,EWB,MVY
166,7070,Dawson Community Airport,4021,Billings Logan International Airport,11646,360419,GDV,BIL
167,5739,Wokal Field Glasgow International Airport,4021,Billings Logan International Airport,15516,445387,GGW,BIL
168,3589,Westchester County Airport,4278,Barnstable Municipal Boardman Polando Field,13258,359711,HPN,HYA
169,3589,Westchester County Airport,5749,Lebanon Municipal Airport,13118,370790,HPN,LEB
170,3589,Westchester County Airport,4265,Martha's Vineyard Airport,16911,378204,HPN,MVY
171,3604,Havre City County Airport,4021,Billings Logan International Airport,14421,406346,HVR,BIL
172,4278,Barnstable Municipal Boardman Polando Field,3517,Nantucket Memorial Airport,8703,52395,HYA,ACK
173,4278,Barnstable Municipal Boardman Polando Field,3448,General Edward Lawrence Logan International Airport,4536,114967,HYA,BOS
174,5744,Kirksville Regional Airport,3678,St Louis Lambert International Airport,10442,303157,IRK,STL
175,5749,Lebanon Municipal Airport,3448,General Edward Lawrence Logan International Airport,7028,204811,LEB,BOS
176,5749,Lebanon Municipal Airport,3589,Westchester County Airport,13013,370579,LEB,HPN
177,3546,Massena International Richards Field,3864,Albany International Airport,13464,338118,MSS,ALB
178,4265,Martha's Vineyard Airport,3517,Nantucket Memorial Airport,9516,63139,MVY,ACK
179,4265,Martha's Vineyard Airport,3448,General Edward Lawrence Logan International Airport,9155,147957,MVY,BOS
180,4265,Martha's Vineyard Airport,5737,New Bedford Regional Airport,7249,99849,MVY,EWB
181,4265,Martha's Vineyard Airport,3589,Westchester County Airport,17169,382174,MVY,HPN
182,6825,Williamson County Regional Airport,3678,St Louis Lambert International Airport,7473,212755,MWA,STL
183,3724,Ogdensburg International Airport,3864,Albany International Airport,13721,352349,OGS,ALB
184,7071,L M Clayton Airport,4021,Billings Logan International Airport,15269,468822,OLF,BIL
185,5758,Owensboro Daviess County Airport,3678,St Louis Lambert International Airport,12609,354083,OWB,STL
186,6456,Provincetown Municipal Airport,3448,General Edward Lawrence Logan International Airport,7783,190415,PVC,BOS
187,4026,Knox County Regional Airport,3448,General Edward Lawrence Logan International Airport,11865,296666,RKD,BOS
188,5767,Rutland - Southern Vermont Regional Airport,3448,General Edward Lawrence Logan International Airport,10871,254596,RUT,BOS
189,7065,Sidney - Richland Regional Airport,4021,Billings Logan International Airport,14296,437620,SDY,BIL
190,5770,Adirondack Regional Airport,3448,General Edward Lawrence Logan International Airport,18594,440663,SLK,BOS
191,3678,St Louis Lambert International Airport,5728,Cape Girardeau Regional Airport,7073,209780,STL,CGI
192,3678,St Louis Lambert International Airport,5744,Kirksville Regional Airport,10660,302903,STL,IRK
193,3678,St Louis Lambert International Airport,6825,Williamson County Regional Airport,7705,213767,STL,MWA
194,3678,St Louis Lambert International Airport,5758,Owensboro Daviess County Airport,12746,345894,STL,OWB
195,3678,St Louis Lambert International Airport,3665,Waynesville-St. Robert Regional Forney field,8258,227584,STL,TBN
196,3678,St Louis Lambert International Airport,5774,Quincy Regional Baldwin Field,7507,209519,STL,UIN
197,3665,Waynesville-St. Robert Regional Forney field,3678,St Louis Lambert International Airport,8025,226417,TBN,STL
198,5774,Quincy Regional Baldwin Field,3678,St Louis Lambert International Airport,7395,209315,UIN,STL
275,3448,General Edward Lawrence Logan International Airport,3576,Miami International Airport,79500,2417477,BOS,MIA
352,3876,Charlotte Douglas International Airport,4112,Akron Canton Regional Airport,25599,755748,CLT,CAK
356,3876,Charlotte Douglas International Airport,3486,Cleveland Hopkins International Airport,28453,839682,CLT,CLE
357,3876,Charlotte Douglas International Airport,3759,John Glenn Columbus International Airport,24480,698771,CLT,CMH
474,3950,Daytona Beach International Airport,3876,Charlotte Douglas International Airport,24761,768769,DAB,CLT
489,3520,Ronald Reagan Washington National Airport,3711,Burlington International Airport,30890,834130,DCA,BTV
494,3520,Ronald Reagan Washington National Airport,3806,Charleston Air Force Base-International Airport,27353,842790,DCA,CHS
585,3670,Dallas Fort Worth International Airport,3806,Charleston Air Force Base-International Airport,57964,1758600,DFW,CHS
701,3670,Dallas Fort Worth International Airport,3708,San Angelo Regional Mathis Field,14288,419192,DFW,SJT
713,3670,Dallas Fort Worth International Airport,3636,Tucson International Airport,48248,1507947,DFW,TUS
754,3494,Newark Liberty International Airport,3576,Miami International Airport,66218,2050883,EWR,MIA
759,3875,Key West International Airport,3576,Miami International Airport,11712,254942,EYW,MIA
768,3533,Fort Lauderdale Hollywood International Airport,3876,Charlotte Douglas International Airport,36569,1153192,FLL,CLT
772,3533,Fort Lauderdale Hollywood International Airport,3752,Philadelphia International Airport,60367,1875015,FLL,PHL
825,3550,George Bush Intercontinental Houston Airport,3752,Philadelphia International Airport,81277,2482927,IAH,PHL
889,3877,McCarran International Airport,3520,Ronald Reagan Washington National Airport,126998,3953081,LAS,DCA
1037,3576,Miami International Airport,3825,Bradley International Airport,74295,2274410,MIA,BDL
1040,3576,Miami International Airport,3448,General Edward Lawrence Logan International Airport,78926,2411859,MIA,BOS
1043,3576,Miami International Airport,3806,Charleston Air Force Base-International Airport,30935,953375,MIA,CHS
1044,3576,Miami International Airport,3486,Cleveland Hopkins International Airport,65422,2014965,MIA,CLE
1045,3576,Miami International Airport,3876,Charlotte Douglas International Airport,37659,1187762,MIA,CLT
1046,3576,Miami International Airport,3759,John Glenn Columbus International Airport,61448,1874053,MIA,CMH
